,correct word,misspelled word,total edit distance,number of words with error,close change,changes
0,موارد ابتلا,موارد ابطلا,1.0,,1.0,0.0
1,با موضوع,با موزوع,1.0,,True,0.0
2,با موضوع,با موظوع,1.0,,True,0.0
3,با موضوع,با موذوع,1.0,,True,0.0
4,ساله در,صاله در,1.0,,True,0.0
5,ساله در,ثاله در,1.0,,True,0.0
6,ساله در,سالح در,1.0,,True,0.0
7,ساله در,ثاله در,1.0,,True,0.0
8,ساله در,صاله در,1.0,,True,0.0
9,ساله در,ثالح در,2.0,,True,0.0
10,ساله در,صالح در,2.0,,True,0.0
11,از چنین,اض چنین,1.0,,True,0.0
12,از چنین,اظ چنین,1.0,,True,0.0
13,از چنین,اذ چنین,1.0,,True,0.0
14,و موفق,و موفغ,1.0,,True,0.0
15,موثر است,موثر اثت,1.0,,True,0.0
16,موثر است,موثر اصت,1.0,,True,0.0
17,موثر است,موسر است,1.0,,True,0.0
18,موثر است,موثر اسط,1.0,,True,0.0
19,موثر است,موصر اسط,2.0,,True,0.0
20,موثر است,موصر است,1.0,,True,0.0
21,موثر است,موسر اسط,2.0,,True,0.0
22,موثر است,موسر اصت,2.0,,True,0.0
23,موثر است,موثر اصت,1.0,,True,0.0
24,موثر است,موصر اسط,2.0,,True,0.0
25,موثر است,موصر اصت,2.0,,True,0.0
26,موثر است,موصر است,1.0,,True,0.0
27,موثر است,موصر اثت,2.0,,True,0.0
28,موثر است,موصر اثط,3.0,,True,0.0
29,موثر است,موسر اصط,3.0,,True,0.0
30,موثر است,موثر اثط,2.0,,True,0.0
31,موثر است,موسر اسط,2.0,,True,0.0
32,موثر است,موسر است,1.0,,True,0.0
33,موثر است,موثر اصط,2.0,,True,0.0
34,موثر است,موثر اثت,1.0,,True,0.0
35,موثر است,موثر اسط,1.0,,True,0.0
36,موثر است,موصر اصط,3.0,,True,0.0
37,موثر است,موسر اثت,2.0,,True,0.0
38,موثر است,موسر اثط,3.0,,True,0.0
39,درحالی‌که در,درهالی‌که در,1.0,,True,0.0
40,درحالی‌که در,درهالی‌که در,1.0,,True,0.0
41,درحالی‌که در,درحالی‌کح در,1.0,,True,0.0
42,درحالی‌که در,درهالی‌کح در,2.0,,True,0.0
43,هم از,هم اض,1.0,,True,0.0
44,هم از,هم اذ,1.0,,True,0.0
45,هم از,هم اظ,1.0,,True,0.0
46,هم از,هم اض,1.0,,True,0.0
47,هم از,حم اض,2.0,,True,0.0
48,هم از,هم اظ,1.0,,True,0.0
