,correct word,misspelled word
0,قضایی کشور,قضایب کشور
1,قضایی کشور,قضایبی کشور
2,قضایی کشور,قضای کشور
3,قضایی کشور,قضایی گشور
4,قضایی کشور,قضایی گکشور
5,قضایی کشور,قضایی شور
6,قضایی کشور,قضایب مشور
7,قضایی کشور,قضایب گکشور
8,قضایی کشور,قضایس گکشور
9,قضایی کشور,قضایسی گشور
10,قضایی کشور,قضایبی مکشور
11,قضایی کشور,قضایبی شور
12,قضایی کشور,قضای گشور
13,قضایی کشور,قضای مکشور
14,قضایی کشور,قضای شور
15,دست‌کم هزار,دیت‌کم هزار
16,دست‌کم هزار,دشست‌کم هزار
17,دست‌کم هزار,دت‌کم هزار
18,دست‌کم هزار,دست‌کم هزلر
19,دست‌کم هزار,دست‌کم هزلار
20,دست‌کم هزار,دست‌کم هزر
21,دست‌کم هزار,دیت‌کم هزتر
22,دست‌کم هزار,دیت‌کم هزلار
23,دست‌کم هزار,دشت‌کم هزتار
24,دست‌کم هزار,دیست‌کم هزتر
25,دست‌کم هزار,دشست‌کم هزلار
26,دست‌کم هزار,دیست‌کم هزر
27,دست‌کم هزار,دت‌کم هزلر
28,دست‌کم هزار,دت‌کم هزتار
29,دست‌کم هزار,دت‌کم هزر
30,نیازی نیست,تیازی نیست
31,نیازی نیست,تنیازی نیست
32,نیازی نیست,یازی نیست
33,نیازی نیست,نیاضی نیست
34,نیازی نیست,نیاطزی نیست
35,نیازی نیست,نیای نیست
36,نیازی نیست,میاضی نیست
37,نیازی نیست,ییاضزی نیست
38,نیازی نیست,چیاضزی نیست
39,نیازی نیست,تنیاری نیست
40,نیازی نیست,ذنیاذزی نیست
41,نیازی نیست,تنیای نیست
42,نیازی نیست,یاری نیست
43,نیازی نیست,یارزی نیست
44,نیازی نیست,یای نیست
45,توجه دولت,تدجه دولت
46,توجه دولت,تدوجه دولت
47,توجه دولت,تجه دولت
48,توجه دولت,توجه دوات
49,توجه دولت,توجه دوالت
50,توجه دولت,توجه دوت
51,توجه دولت,تحجه دوبت
52,توجه دولت,تدجه دوجلت
53,توجه دولت,تدجه دوبلت
54,توجه دولت,تدوجه دوآت
55,توجه دولت,تدوجه دوالت
56,توجه دولت,تدوجه دوت
57,توجه دولت,تجه دوبت
58,توجه دولت,تجه دوالت
59,توجه دولت,تجه دوت
60,جلوگیری کرده,جلوگسری کرده
61,جلوگیری کرده,جلوگسیری کرده
62,جلوگیری کرده,جلوگری کرده
63,جلوگیری کرده,جلوگیری کذده
64,جلوگیری کرده,جلوگیری کذرده
65,جلوگیری کرده,جلوگیری کده
66,جلوگیری کرده,جلوگبری کذده
67,جلوگیری کرده,جلوگسری کذرده
68,جلوگیری کرده,جلوگسری کزرده
69,جلوگیری کرده,جلوگسیری کذده
70,جلوگیری کرده,جلوگبیری کزرده
71,جلوگیری کرده,جلوگسیری کده
72,جلوگیری کرده,جلوگری کذده
73,جلوگیری کرده,جلوگری کزرده
74,جلوگیری کرده,جلوگری کده
75,ماه‌های گذشته,ناه‌های گذشته
76,ماه‌های گذشته,نماه‌های گذشته
77,ماه‌های گذشته,اه‌های گذشته
78,ماه‌های گذشته,مله‌های گذشته
79,ماه‌های گذشته,ملاه‌های گذشته
80,ماه‌های گذشته,مه‌های گذشته
81,ماه‌های گذشته,نله‌های گذشته
82,ماه‌های گذشته,کتاه‌های گذشته
83,ماه‌های گذشته,کتاه‌های گذشته
84,ماه‌های گذشته,نمته‌های گذشته
85,ماه‌های گذشته,کملاه‌های گذشته
86,ماه‌های گذشته,کمه‌های گذشته
87,ماه‌های گذشته,ته‌های گذشته
88,ماه‌های گذشته,تاه‌های گذشته
89,ماه‌های گذشته,ه‌های گذشته
90,مراقب باشند,مرتقب باشند
91,مراقب باشند,مرتاقب باشند
92,مراقب باشند,مرقب باشند
93,مراقب باشند,مراقب بلشند
94,مراقب باشند,مراقب بثاشند
95,مراقب باشند,مراقب بشند
96,مراقب باشند,مردقب بتشند
97,مراقب باشند,مرحقب بلاشند
98,مراقب باشند,مرلقب بتاشند
99,مراقب باشند,مرتاقب بمشند
100,مراقب باشند,مرلاقب بلاشند
101,مراقب باشند,مرلاقب بشند
102,مراقب باشند,مرقب بلشند
103,مراقب باشند,مرقب بلاشند
104,مراقب باشند,مرقب بشند
105,من می‌دانم,کن می‌دانم
106,من می‌دانم,نمن می‌دانم
107,من می‌دانم,ن می‌دانم
108,من می‌دانم,مت می‌دانم
109,من می‌دانم,متن می‌دانم
110,من می‌دانم,م می‌دانم
111,من می‌دانم,نم می‌دانم
112,من می‌دانم,کتن می‌دانم
113,من می‌دانم,کمن می‌دانم
114,من می‌دانم,نمج می‌دانم
115,من می‌دانم,یممن می‌دانم
116,من می‌دانم,نم می‌دانم
117,من می‌دانم,م می‌دانم
118,من می‌دانم,من می‌دانم
119,من می‌دانم, می‌دانم
120,مرکزی شهر,مرگزی شهر
121,مرکزی شهر,مرمکزی شهر
122,مرکزی شهر,مرزی شهر
123,مرکزی شهر,مرکزی سهر
124,مرکزی شهر,مرکزی زشهر
125,مرکزی شهر,مرکزی هر
126,مرکزی شهر,مرگزی سهر
127,مرکزی شهر,مرمزی سشهر
128,مرکزی شهر,مرمزی سشهر
129,مرکزی شهر,مرمکزی سهر
130,مرکزی شهر,مرمکزی سشهر
131,مرکزی شهر,مرگکزی هر
132,مرکزی شهر,مرزی سهر
133,مرکزی شهر,مرزی سشهر
134,مرکزی شهر,مرزی هر
135,کمک زیادی,کمک ذیادی
136,کمک زیادی,کمک ذزیادی
137,کمک زیادی,کمک یادی
138,کمک زیادی,کمک زیاذی
139,کمک زیادی,کمک زیایدی
140,کمک زیادی,کمک زیای
141,کمک زیادی,کمک ریایی
142,کمک زیادی,کمک ذیایدی
143,کمک زیادی,کمک ذیایدی
144,کمک زیادی,کمک ذزیاذی
145,کمک زیادی,کمک رزیاذدی
146,کمک زیادی,کمک ضزیای
147,کمک زیادی,کمک یایی
148,کمک زیادی,کمک یاذدی
149,کمک زیادی,کمک یای
150,درست مانند,دریت مانند
151,درست مانند,درشست مانند
152,درست مانند,درت مانند
153,درست مانند,درست مامند
154,درست مانند,درست مامنند
155,درست مانند,درست ماند
156,درست مانند,درلت ماتند
157,درست مانند,دریت مامنند
158,درست مانند,درپت مامنند
159,درست مانند,درشست ماتند
160,درست مانند,درشست مامنند
161,درست مانند,درشست ماند
162,درست مانند,درت ماتند
163,درست مانند,درت ماتنند
164,درست مانند,درت ماند
165,پیدا نمی‌کنند,پییا نمی‌کنند
166,پیدا نمی‌کنند,پیذدا نمی‌کنند
167,پیدا نمی‌کنند,پیا نمی‌کنند
168,پیدا نمی‌کنند,پیدا نمی‌کنتد
169,پیدا نمی‌کنند,پیدا نمی‌کنتند
170,پیدا نمی‌کنند,پیدا نمی‌کند
171,پیدا نمی‌کنند,پییا نمی‌کنتد
172,پیدا نمی‌کنند,پیذا نمی‌کنمند
173,پیدا نمی‌کنند,پییا نمی‌کنمند
174,پیدا نمی‌کنند,پییدا نمی‌کنتد
175,پیدا نمی‌کنند,پیذدا نمی‌کنتند
176,پیدا نمی‌کنند,پیذدا نمی‌کند
177,پیدا نمی‌کنند,پیا نمی‌کنتد
178,پیدا نمی‌کنند,پیا نمی‌کنمند
179,پیدا نمی‌کنند,پیا نمی‌کند
180,سه سال,سح سال
181,سه سال,سخه سال
182,سه سال,س سال
183,سه سال,سه یال
184,سه سال,سه شسال
185,سه سال,سه ال
186,سه سال,سح یال
187,سه سال,سح شسال
188,سه سال,سح یسال
189,سه سال,سخه شال
190,سه سال,سگه یسال
191,سه سال,سژه ال
192,سه سال,س شال
193,سه سال,س شسال
194,سه سال,س ال
195,او تاکید,او تلکید
196,او تاکید,او تلاکید
197,او تاکید,او تکید
198,او تاکید,او تاکسد
199,او تاکید,او تاکبید
200,او تاکید,او تاکد
201,او تاکید,او تتکبد
202,او تاکید,او تتکسید
203,او تاکید,او تلککید
204,او تاکید,او تپاکبد
205,او تاکید,او تتاکبید
206,او تاکید,او تتاکد
207,او تاکید,او تکبد
208,او تاکید,او تکبید
209,او تاکید,او تکد
210,امیر مومنان,اخیر مومنان
211,امیر مومنان,انمیر مومنان
212,امیر مومنان,ایر مومنان
213,امیر مومنان,امیر مومتان
214,امیر مومنان,امیر موممنان
215,امیر مومنان,امیر مومان
216,امیر مومنان,انیر مومتان
217,امیر مومنان,انیر مومتنان
218,امیر مومنان,اکیر مومتنان
219,امیر مومنان,اکمیر مومتان
220,امیر مومنان,انمیر موممنان
221,امیر مومنان,اکمیر مومان
222,امیر مومنان,ایر مومتان
223,امیر مومنان,ایر موممنان
224,امیر مومنان,ایر مومان
225,شکی نیست,شکی نیشت
226,شکی نیست,شکی نییست
227,شکی نیست,شکی نیت
228,شکی نیست,شکی نیسن
229,شکی نیست,شکی نیسطت
230,شکی نیست,شکی نیس
231,شکی نیست,شکی نیشآ
232,شکی نیست,شکی نیزوت
233,شکی نیست,شکی نیشنت
234,شکی نیست,شکی نییسا
235,شکی نیست,شکی نییسآت
236,شکی نیست,شکی نیشس
237,شکی نیست,شکی نیا
238,شکی نیست,شکی نیطت
239,شکی نیست,شکی نی
240,تاکید قرار,طاکید قرار
241,تاکید قرار,نتاکید قرار
242,تاکید قرار,اکید قرار
243,تاکید قرار,تاگید قرار
244,تاکید قرار,تازکید قرار
245,تاکید قرار,تاید قرار
246,تاکید قرار,عاآید قرار
247,تاکید قرار,آامکید قرار
248,تاکید قرار,آامکید قرار
249,تاکید قرار,اتاصید قرار
250,تاکید قرار,اتامکید قرار
251,تاکید قرار,نتاید قرار
252,تاکید قرار,اگید قرار
253,تاکید قرار,امکید قرار
254,تاکید قرار,اید قرار
255,همین رو,همیم رو
256,همین رو,همیتن رو
257,همین رو,همی رو
258,همین رو,همین رد
259,همین رو,همین رغو
260,همین رو,همین ر
261,همین رو,همیت رد
262,همین رو,همیت رلو
263,همین رو,همیم ردو
264,همین رو,همیتن رد
265,همین رو,همیتن ردو
266,همین رو,همیتن ر
267,همین رو,همی رد
268,همین رو,همی ردو
269,همین رو,همی ر
270,قانون اصلاح,قابون اصلاح
271,قانون اصلاح,قاتنون اصلاح
272,قانون اصلاح,قاون اصلاح
273,قانون اصلاح,قانوم اصلاح
274,قانون اصلاح,قانومن اصلاح
275,قانون اصلاح,قانو اصلاح
276,قانون اصلاح,قاتوت اصلاح
277,قانون اصلاح,قاموتن اصلاح
278,قانون اصلاح,قاتومن اصلاح
279,قانون اصلاح,قامنوم اصلاح
280,قانون اصلاح,قاتنوتن اصلاح
281,قانون اصلاح,قامنو اصلاح
282,قانون اصلاح,قاوم اصلاح
283,قانون اصلاح,قاومن اصلاح
284,قانون اصلاح,قاو اصلاح
285,قابل انجام,قابا انجام
286,قابل انجام,قابال انجام
287,قابل انجام,قاب انجام
288,قابل انجام,قابل انحام
289,قابل انجام,قابل انحجام
290,قابل انجام,قابل انام
291,قابل انجام,قابآ انچام
292,قابل انجام,قابآ انحجام
293,قابل انجام,قابب انچجام
294,قابل انجام,قاببل انحام
295,قابل انجام,قابآل انقجام
296,قابل انجام,قابال انام
297,قابل انجام,قاب انچام
298,قابل انجام,قاب انچجام
299,قابل انجام,قاب انام
300,زمینه صورت,زمینخ صورت
301,زمینه صورت,زمینخه صورت
302,زمینه صورت,زمین صورت
303,زمینه صورت,زمینه ثورت
304,زمینه صورت,زمینه ضصورت
305,زمینه صورت,زمینه ورت
306,زمینه صورت,زمینخ ضورت
307,زمینه صورت,زمینخ بصورت
308,زمینه صورت,زمینح ثصورت
309,زمینه صورت,زمینحه ضورت
310,زمینه صورت,زمینگه ضصورت
311,زمینه صورت,زمینحه ورت
312,زمینه صورت,زمین ضورت
313,زمینه صورت,زمین ثصورت
314,زمینه صورت,زمین ورت
315,ما هستیم,نا هستیم
316,ما هستیم,نما هستیم
317,ما هستیم,ا هستیم
318,ما هستیم,ما هستسم
319,ما هستیم,ما هستسیم
320,ما هستیم,ما هستم
321,ما هستیم,کا هستسم
322,ما هستیم,نا هستسیم
323,ما هستیم,کا هستسیم
324,ما هستیم,نما هستسم
325,ما هستیم,نما هستبیم
326,ما هستیم,غما هستم
327,ما هستیم,ا هستسم
328,ما هستیم,ا هستسیم
329,ما هستیم,ا هستم
330,نیز انجام,نیز انحام
331,نیز انجام,نیز انچجام
332,نیز انجام,نیز انام
333,نیز انجام,نیز انجان
334,نیز انجام,نیز انجاکم
335,نیز انجام,نیز انجا
336,نیز انجام,نیز انچاظ
