,correct word,misspelled word,total edit distance,number of words with error,close change,changes,none word
0,لایحه بودجه سال آینده,لایحه بودجه سژل آینده,1.0,1.0,0.0,"[[], [], [0], []]",True
1,لایحه بودجه سال آینده,لابیحه بودجه سال آینده,1.0,1.0,1.0,"[[2], [], [], []]",True
2,لایحه بودجه سال آینده,لایحه بودجه خساف آینده,2.0,1.0,0.0,"[[], [], [2, 0], []]",True
3,لایحه بودجه سال آینده,لایحه بودجه س آینده,2.0,1.0,1.0,"[[], [], [1, 1], []]",False
4,لایحه بودجه سال آینده,لاپحه بودجه ساج آینده,2.0,2.0,0.0,"[[0], [], [0], []]",True
5,لایحه بودجه سال آینده,لایحه بددجه سال آیند,2.0,2.0,1.0,"[[], [0], [], [1]]",True
6,لایحه بودجه سال آینده,لایحه آبوتگه سال آینده,3.0,1.0,0.0,"[[], [2, 0, 0], [], []]",True
7,لایحه بودجه سال آینده,لایحه ویدحه سال آینده,3.0,1.0,1.0,"[[], [1, 2, 0], [], []]",True
8,لایحه بودجه سال آینده,لچیحه بودجه سال ظیبده,3.0,2.0,0.0,"[[0], [], [], [0, 0]]",True
9,لایحه بودجه سال آینده,لاسیحه بودجه سال آیتنه,3.0,2.0,1.0,"[[2], [], [], [2, 1]]",True
10,معیارهای قطعی تشخیصی هزار,معیارهای قطعی تشخیصی هزاظر,1.0,1.0,0.0,"[[], [], [], [2]]",True
11,معیارهای قطعی تشخیصی هزار,معیارای قطعی تشخیصی هزار,1.0,1.0,1.0,"[[1], [], [], []]",True
12,معیارهای قطعی تشخیصی هزار,پعیاقهای قطعی تشخیصی هزار,2.0,1.0,0.0,"[[0, 0], [], [], []]",True
13,معیارهای قطعی تشخیصی هزار,معیارعاب قطعی تشخیصی هزار,2.0,1.0,1.0,"[[0, 0], [], [], []]",True
14,معیارهای قطعی تشخیصی هزار,معیارهای هطعی تشخیصی زار,2.0,2.0,0.0,"[[], [0], [], [1]]",True
15,معیارهای قطعی تشخیصی هزار,کمعیارهای قطهی تشخیصی هزار,2.0,2.0,1.0,"[[2], [0], [], []]",True
16,معیارهای قطعی تشخیصی هزار,میاهاری قطعی تشخیصی هزار,3.0,1.0,0.0,"[[1, 1, 2], [], [], []]",True
17,معیارهای قطعی تشخیصی هزار,معیارهای قطعی تشحبیصسی هزار,3.0,1.0,1.0,"[[], [], [0, 2, 2], []]",True
18,معیارهای قطعی تشخیصی هزار,مععارهای قطعی متشخیص هزار,3.0,2.0,0.0,"[[0], [], [2, 1], []]",True
19,معیارهای قطعی تشخیصی هزار,معیارهای طهی تشخبصی هزار,3.0,2.0,1.0,"[[], [1, 0], [0], []]",True
20,محمد رسول‌الله ص تهران,محمد سول‌الله ص تهران,1.0,1.0,0.0,"[[], [1], [], []]",True
21,محمد رسول‌الله ص تهران,محمد رسول‌الله ثص تهران,1.0,1.0,1.0,"[[], [], [2], []]",True
22,محمد رسول‌الله ص تهران,محمد رستول‌السه ص تهران,2.0,1.0,0.0,"[[], [2, 0], [], []]",True
23,محمد رسول‌الله ص تهران,محمد رسول‌الله ص طعهران,2.0,1.0,1.0,"[[], [], [], [0, 2]]",True
24,محمد رسول‌الله ص تهران,محمد رسول‌الله س حهران,2.0,2.0,0.0,"[[], [], [0], [0]]",True
25,محمد رسول‌الله ص تهران,محمد رسول‌الله ثص تهان,2.0,2.0,1.0,"[[], [], [2], [1]]",True
