,correct word,misspelled word,total edit distance,number of words with error,close change,changes
0,قرار گرفتن,قرار گرفتد,1.0,1.0,0.0,"[[], [0]]"
1,قرار گرفتن,قرار گرتن,1.0,1.0,1.0,"[[], [1]]"
2,قرار گرفتن,قرضژر گرفتن,2.0,1.0,0.0,"[[0, 2], []]"
3,قرار گرفتن,قرار گزفطن,2.0,1.0,1.0,"[[], [0, 0]]"
4,قرار گرفتن,قرار گگفت,2.0,2.0,0.0,"[[], [0, 1]]"
5,قرار گرفتن,قرار گرقتتن,2.0,2.0,1.0,"[[], [0, 2]]"
6,قرار گرفتن,قرار صردتژن,3.0,1.0,0.0,"[[], [0, 0, 2]]"
7,قرار گرفتن,قرار ذغتن,3.0,1.0,1.0,"[[], [1, 0, 0]]"
8,قرار گرفتن,قرگاظر گرخفتن,3.0,2.0,0.0,"[[2, 2], [2]]"
9,قرار گرفتن,فقذرتار گرفتن,3.0,2.0,1.0,"[[2, 2, 2], []]"
10,نشان دادن,نخان دادن,1.0,1.0,0.0,"[[0], []]"
11,نشان دادن,نشلن دادن,1.0,1.0,1.0,"[[0], []]"
12,نشان دادن,نشان قدآادن,2.0,1.0,0.0,"[[], [2, 2]]"
13,نشان دادن,تنسشان دادن,2.0,1.0,1.0,"[[2, 2], []]"
14,نشان دادن,شچان دادن,2.0,2.0,0.0,"[[1, 2], []]"
15,نشان دادن,نشان دن,2.0,2.0,1.0,"[[], [1, 1]]"
16,نشان دادن,ند دادن,3.0,1.0,0.0,"[[0, 1, 1], []]"
17,نشان دادن,منسشا دادن,3.0,1.0,1.0,"[[2, 2, 1], []]"
18,نشان دادن,نغ دادن,3.0,2.0,0.0,"[[1, 1, 0], []]"
19,نشان دادن,نان دلد,3.0,2.0,1.0,"[[1], [0, 1]]"
20,موانع تولید,موانع تلید,1.0,1.0,0.0,"[[], [1]]"
21,موانع تولید,مانع تولید,1.0,1.0,1.0,"[[1], []]"
22,موانع تولید,موانع ولیغ,2.0,1.0,0.0,"[[], [1, 0]]"
23,موانع تولید,موانع توبلی,2.0,1.0,1.0,"[[], [2, 1]]"
24,موانع تولید,موانع دلید,2.0,2.0,0.0,"[[], [0, 1]]"
25,موانع تولید,مولاع تولید,2.0,2.0,1.0,"[[2, 1], []]"
26,موانع تولید,موانع تفوثلیو,3.0,1.0,0.0,"[[], [2, 2, 0]]"
27,موانع تولید,نوتاتع تولید,3.0,1.0,1.0,"[[0, 2, 0], []]"
28,موانع تولید,بواگ تولید,3.0,2.0,0.0,"[[0, 0, 1], []]"
29,موانع تولید,کوتنع تولبد,3.0,2.0,1.0,"[[0, 0], [0]]"
30,مدیریت شهری,مدیریت شطری,1.0,1.0,0.0,"[[], [0]]"
31,مدیریت شهری,میریت شهری,1.0,1.0,1.0,"[[1], []]"
32,مدیریت شهری,مدیریت ظهمری,2.0,1.0,0.0,"[[], [0, 2]]"
33,مدیریت شهری,مسریت شهری,2.0,1.0,1.0,"[[1, 0], []]"
34,مدیریت شهری,دیرصت شهری,2.0,2.0,0.0,"[[1, 0], []]"
35,مدیریت شهری,مدسیزریت شهری,2.0,2.0,1.0,"[[2, 2], []]"
36,مدیریت شهری,مدیریت ظشحی,3.0,1.0,0.0,"[[], [2, 1, 0]]"
37,مدیریت شهری,مدیریت سحهرسی,3.0,1.0,1.0,"[[], [0, 2, 2]]"
38,مدیریت شهری,دری شهری,3.0,2.0,0.0,"[[1, 1, 1], []]"
39,مدیریت شهری,مذیریآت شهذری,3.0,2.0,1.0,"[[0, 2], [2]]"
40,همه جا,هپه جا,1.0,1.0,0.0,"[[0], []]"
41,همه جا,همه ا,1.0,1.0,1.0,"[[], [1]]"
42,همه جا,هآمط جا,2.0,1.0,0.0,"[[2, 0], []]"
43,همه جا,هنع جا,2.0,1.0,1.0,"[[0, 0], []]"
44,همه جا,مه جش,2.0,2.0,0.0,"[[1], [0]]"
45,همه جا,همه چجل,2.0,2.0,1.0,"[[], [2, 0]]"
46,همه جا,سهدم جا,3.0,1.0,0.0,"[[2, 0, 0], []]"
47,همه جا,عهنمح جا,3.0,1.0,1.0,"[[2, 2, 0], []]"
48,همه جا,ظمچه ج,3.0,2.0,0.0,"[[0, 2], [1]]"
49,همه جا,حمعه ا,3.0,2.0,1.0,"[[0, 2], [1]]"
50,نکته جالب,نته جالب,1.0,1.0,0.0,"[[1], []]"
51,نکته جالب,نکته الب,1.0,1.0,1.0,"[[], [1]]"
52,نکته جالب,نکسپ جالب,2.0,1.0,0.0,"[[0, 0], []]"
53,نکته جالب,نکته حاللب,2.0,1.0,1.0,"[[], [0, 2]]"
54,نکته جالب,نکته لب,2.0,2.0,0.0,"[[], [1, 1]]"
55,نکته جالب,تنکته جالیب,2.0,2.0,1.0,"[[2], [2]]"
56,نکته جالب,هنپکتک جالب,3.0,1.0,0.0,"[[2, 2, 0], []]"
57,نکته جالب,کنحه جالب,3.0,1.0,1.0,"[[1, 0, 2], []]"
58,نکته جالب,طنکذته جاب,3.0,2.0,0.0,"[[2, 2], [1]]"
59,نکته جالب,نکآته چاالب,3.0,2.0,1.0,"[[2], [0, 2]]"
60,صنعت خودرو,صنعت خوظدرو,1.0,1.0,0.0,"[[], [2]]"
61,صنعت خودرو,صنعت خورو,1.0,1.0,1.0,"[[], [1]]"
62,صنعت خودرو,صنعت خوهدرج,2.0,1.0,0.0,"[[], [2, 0]]"
63,صنعت خودرو,صنعت خدوذدرو,2.0,1.0,1.0,"[[], [2, 2]]"
64,صنعت خودرو,صنعر خورو,2.0,2.0,0.0,"[[0], [1]]"
65,صنعت خودرو,صعت ودرو,2.0,2.0,1.0,"[[1], [1]]"
66,صنعت خودرو,صنعت قودج,3.0,1.0,0.0,"[[], [0, 0, 1]]"
67,صنعت خودرو,ضمنعآ خودرو,3.0,1.0,1.0,"[[0, 2, 0], []]"
68,صنعت خودرو,صنت تورو,3.0,2.0,0.0,"[[1], [0, 1]]"
69,صنعت خودرو,صعط خودرد,3.0,2.0,1.0,"[[1, 0], [0]]"
70,اساس قانون,ااس قانون,1.0,1.0,0.0,"[[1], []]"
71,اساس قانون,تاساس قانون,1.0,1.0,1.0,"[[2], []]"
72,اساس قانون,ااژ قانون,2.0,1.0,0.0,"[[1, 0], []]"
73,اساس قانون,تسا قانون,2.0,1.0,1.0,"[[0, 1], []]"
74,اساس قانون,ساس هانون,2.0,2.0,0.0,"[[1], [0]]"
75,اساس قانون,اشستاس قانون,2.0,2.0,1.0,"[[2, 2], []]"
76,اساس قانون,اساس قسوپ,3.0,1.0,0.0,"[[], [1, 0, 0]]"
77,اساس قانون,اساس ثلنو,3.0,1.0,1.0,"[[], [0, 0, 1]]"
78,اساس قانون,اسا قطنشون,3.0,2.0,0.0,"[[1], [0, 2]]"
79,اساس قانون,اشسلشس قانون,3.0,2.0,1.0,"[[2, 0, 2], []]"
80,ارزش افزوده,ارزش افزود,1.0,1.0,0.0,"[[], [1]]"
81,ارزش افزوده,ارطزش افزوده,1.0,1.0,1.0,"[[2], []]"
82,ارزش افزوده,گازش افزوده,2.0,1.0,0.0,"[[2, 1], []]"
83,ارزش افزوده,رش افزوده,2.0,1.0,1.0,"[[1, 1], []]"
84,ارزش افزوده,ارگنش افزوده,2.0,2.0,0.0,"[[0, 2], []]"
85,ارزش افزوده,ارزش تفزوه,2.0,2.0,1.0,"[[], [0, 1]]"
86,ارزش افزوده,زارصز افزوده,3.0,1.0,0.0,"[[2, 2, 1], []]"
87,ارزش افزوده,تازرزس افزوده,3.0,1.0,1.0,"[[2, 2, 0], []]"
88,ارزش افزوده,حچش افزوده,3.0,2.0,0.0,"[[1, 0, 0], []]"
89,ارزش افزوده,ارزش فضده,3.0,2.0,1.0,"[[], [1, 0, 1]]"
90,خراسان رضوی,خراسان ضوی,1.0,1.0,0.0,"[[], [1]]"
91,خراسان رضوی,خراسان رضدی,1.0,1.0,1.0,"[[], [0]]"
92,خراسان رضوی,خرضاسن رضوی,2.0,1.0,0.0,"[[2, 1], []]"
93,خراسان رضوی,خراسان رو,2.0,1.0,1.0,"[[], [1, 1]]"
94,خراسان رضوی,خراسان رزی,2.0,2.0,0.0,"[[], [1, 0]]"
95,خراسان رضوی,خراسان ذضدوی,2.0,2.0,1.0,"[[], [0, 2]]"
96,خراسان رضوی,خراسان حی,3.0,1.0,0.0,"[[], [1, 0, 1]]"
97,خراسان رضوی,خراسان ززدی,3.0,1.0,1.0,"[[], [0, 0, 0]]"
98,خراسان رضوی,خسرسطن رضوی,3.0,2.0,0.0,"[[2, 1, 0], []]"
99,خراسان رضوی,حخرلسا رضوی,3.0,2.0,1.0,"[[2, 0, 1], []]"
100,کشور وارد,کشور ورد,1.0,1.0,0.0,"[[], [1]]"
101,کشور وارد,کشور ارد,1.0,1.0,1.0,"[[], [1]]"
102,کشور وارد,کشور ماچد,2.0,1.0,0.0,"[[], [0, 0]]"
103,کشور وارد,کشور ولاد,2.0,1.0,1.0,"[[], [2, 1]]"
104,کشور وارد,کشور یار,2.0,2.0,0.0,"[[], [0, 1]]"
105,کشور وارد,شوزر وارد,2.0,2.0,1.0,"[[1, 2], []]"
106,کشور وارد,کشور وم,3.0,1.0,0.0,"[[], [0, 1, 1]]"
107,کشور وارد,سوذر وارد,3.0,1.0,1.0,"[[1, 0, 2], []]"
108,کشور وارد,کصور ود,3.0,2.0,0.0,"[[0], [1, 1]]"
109,کشور وارد,کدر واری,3.0,2.0,1.0,"[[1, 0], [0]]"
110,کار می‌کند,کار ی‌کند,1.0,1.0,0.0,"[[], [1]]"
111,کار می‌کند,کار م‌کند,1.0,1.0,1.0,"[[], [1]]"
112,کار می‌کند,کهانر می‌کند,2.0,1.0,0.0,"[[2, 2], []]"
113,کار می‌کند,کار مسی‌کن,2.0,1.0,1.0,"[[], [2, 1]]"
114,کار می‌کند,کپاخ می‌کند,2.0,2.0,0.0,"[[2, 0], []]"
115,کار می‌کند,کتر مسی‌کند,2.0,2.0,1.0,"[[0], [2]]"
116,کار می‌کند,اکق می‌کند,3.0,1.0,0.0,"[[2, 1, 0], []]"
117,کار می‌کند,کار ‌مکند,3.0,1.0,1.0,"[[], [1, 1, 2]]"
118,کار می‌کند,صکا ی‌کند,3.0,2.0,0.0,"[[2, 1], [1]]"
119,تولید ناخالص,تولید غاخالص,1.0,1.0,0.0,"[[], [0]]"
120,تولید ناخالص,تولید ناخاالص,1.0,1.0,1.0,"[[], [2]]"
121,تولید ناخالص,تلیپد ناخالص,2.0,1.0,0.0,"[[1, 2], []]"
122,تولید ناخالص,تویذ ناخالص,2.0,1.0,1.0,"[[1, 0], []]"
123,تولید ناخالص,تشلد ناخالص,2.0,2.0,0.0,"[[0, 1], []]"
124,تولید ناخالص,تدلید ناحالص,2.0,2.0,1.0,"[[0], [0]]"
125,تولید ناخالص,تولید ناخمحل,3.0,1.0,0.0,"[[], [0, 2, 1]]"
126,تولید ناخالص,وی ناخالص,3.0,1.0,1.0,"[[1, 1, 1], []]"
127,تولید ناخالص,تولید نعادلص,3.0,2.0,0.0,"[[], [2, 0, 1]]"
128,تولید ناخالص,آلیذد ناخالص,3.0,2.0,1.0,"[[0, 1, 2], []]"
129,کاهش نرخ,کاهش نر,1.0,1.0,0.0,"[[], [1]]"
130,کاهش نرخ,کاعهش نرخ,1.0,1.0,1.0,"[[2], []]"
131,کاهش نرخ,کاهش خ,2.0,1.0,0.0,"[[], [1, 1]]"
132,کاهش نرخ,هش نرخ,2.0,1.0,1.0,"[[1, 1], []]"
133,کاهش نرخ,کاهش صگرخ,2.0,2.0,0.0,"[[], [0, 2]]"
134,کاهش نرخ,کاهش نح,2.0,2.0,1.0,"[[], [1, 0]]"
135,کاهش نرخ,کاهش ذم,3.0,1.0,0.0,"[[], [0, 0, 1]]"
136,کاهش نرخ,کاهش منزهخ,3.0,1.0,1.0,"[[], [2, 0, 2]]"
137,کاهش نرخ,عذاهل نرخ,3.0,2.0,0.0,"[[0, 2, 0], []]"
138,کاهش نرخ,کاهش ت,3.0,2.0,1.0,"[[], [0, 1, 1]]"
139,سه هفته,ضه هفته,1.0,1.0,0.0,"[[0], []]"
140,سه هفته,سه هته,1.0,1.0,1.0,"[[], [1]]"
141,سه هفته,سه هضه,2.0,1.0,0.0,"[[], [1, 0]]"
142,سه هفته,ع هفته,2.0,1.0,1.0,"[[1, 0], []]"
143,سه هفته,رسی هفته,2.0,2.0,0.0,"[[2, 0], []]"
144,سه هفته,سخ هفنته,2.0,2.0,1.0,"[[0], [2]]"
145,سه هفته,س اهفخه,3.0,2.0,0.0,"[[1], [2, 0]]"
146,سه هفته,یسه فتعه,3.0,2.0,1.0,"[[2], [1, 2]]"
147,کنند یا,کنند کیا,1.0,1.0,0.0,"[[], [2]]"
148,کنند یا,کنند ی,1.0,1.0,1.0,"[[], [1]]"
149,کنند یا,نذد یا,2.0,1.0,0.0,"[[1, 0], []]"
150,کنند یا,کنند سی,2.0,1.0,1.0,"[[], [2, 1]]"
151,کنند یا,کند یظ,2.0,2.0,0.0,"[[1], [0]]"
152,کنند یا,کنند سیتا,2.0,2.0,1.0,"[[], [2, 2]]"
153,کنند یا,متننذد یا,3.0,1.0,1.0,"[[0, 2, 2], []]"
154,کنند یا,نند سی,3.0,2.0,1.0,"[[1], [2, 1]]"
155,رفع تحریم‌ها,رفث تحریم‌ها,1.0,1.0,0.0,"[[0], []]"
156,رفع تحریم‌ها,رغع تحریم‌ها,1.0,1.0,1.0,"[[0], []]"
157,رفع تحریم‌ها,ع تحریم‌ها,2.0,1.0,0.0,"[[1, 1], []]"
158,رفع تحریم‌ها,رفع تحرب‌ها,2.0,1.0,1.0,"[[], [0, 1]]"
159,رفع تحریم‌ها,گع تحریم‌ها,2.0,2.0,0.0,"[[0, 1], []]"
160,رفع تحریم‌ها,رف تحربیم‌ها,2.0,2.0,1.0,"[[1], [2]]"
161,رفع تحریم‌ها,رفع یحریط‌زها,3.0,1.0,0.0,"[[], [0, 0, 2]]"
162,رفع تحریم‌ها,رفع تخربم‌هتا,3.0,1.0,1.0,"[[], [0, 0, 2]]"
163,رفع تحریم‌ها,رعفنع تحیم‌ها,3.0,2.0,0.0,"[[2, 2], [1]]"
164,رفع تحریم‌ها,رفهع احربیم‌ها,3.0,2.0,1.0,"[[2], [0, 2]]"
165,مردم افغانستان,مودم افغانستان,1.0,1.0,0.0,"[[0], []]"
166,مردم افغانستان,مردم افغاستان,1.0,1.0,1.0,"[[], [1]]"
167,مردم افغانستان,مردم فغانستن,2.0,1.0,0.0,"[[], [1, 1]]"
168,مردم افغانستان,ردن افغانستان,2.0,1.0,1.0,"[[1, 0], []]"
169,مردم افغانستان,خمردم افغانستازن,2.0,2.0,0.0,"[[2], [2]]"
170,مردم افغانستان,مردم افغامنسان,2.0,2.0,1.0,"[[], [2, 1]]"
171,مردم افغانستان,رص افغانستان,3.0,1.0,0.0,"[[1, 1, 0], []]"
172,مردم افغانستان,مردم افانسا,3.0,1.0,1.0,"[[], [1, 1, 1]]"
173,مردم افغانستان,مردم افغانلزآن,3.0,2.0,0.0,"[[], [0, 0, 0]]"
174,مردم افغانستان,مردن افقانتان,3.0,2.0,1.0,"[[0], [0, 1]]"
175,خارجه روسیه,خیرجه روسیه,1.0,1.0,0.0,"[[0], []]"
176,خارجه روسیه,خارجه روسه,1.0,1.0,1.0,"[[], [1]]"
177,خارجه روسیه,خکارجظه روسیه,2.0,1.0,0.0,"[[2, 2], []]"
178,خارجه روسیه,حرجه روسیه,2.0,1.0,1.0,"[[0, 1], []]"
179,خارجه روسیه,خاظه روسیه,2.0,2.0,0.0,"[[0, 1], []]"
180,خارجه روسیه,خاجخ روسیه,2.0,2.0,1.0,"[[1, 0], []]"
181,خارجه روسیه,خارجه رچوعوه,3.0,1.0,0.0,"[[], [2, 0, 0]]"
182,خارجه روسیه,ختاچه روسیه,3.0,1.0,1.0,"[[2, 1, 0], []]"
183,خارجه روسیه,خارشه صروژیه,3.0,2.0,0.0,"[[0], [2, 0]]"
184,خارجه روسیه,رجخ روسیه,3.0,2.0,1.0,"[[1, 1, 0], []]"
185,هر گونه,هر گون,1.0,1.0,0.0,"[[], [1]]"
186,هر گونه,هز گونه,1.0,1.0,1.0,"[[0], []]"
187,هر گونه,ینر گونه,2.0,1.0,0.0,"[[0, 2], []]"
188,هر گونه,ح گونه,2.0,1.0,1.0,"[[0, 1], []]"
189,هر گونه,چپ گونه,2.0,2.0,0.0,"[[0, 0], []]"
190,هر گونه,حذر گونه,2.0,2.0,1.0,"[[0, 2], []]"
191,هر گونه,هصر تگوثنه,3.0,2.0,0.0,"[[2], [2, 2]]"
192,قرآن کریم,قرآ کریم,1.0,1.0,0.0,"[[1], []]"
193,قرآن کریم,قرآن گکریم,1.0,1.0,1.0,"[[], [2]]"
194,قرآن کریم,قرع کریم,2.0,1.0,0.0,"[[0, 1], []]"
195,قرآن کریم,فقرتن کریم,2.0,1.0,1.0,"[[2, 0], []]"
196,قرآن کریم,قرآن کستیم,2.0,2.0,0.0,"[[], [0, 2]]"
197,قرآن کریم,قرآن گرسیم,2.0,2.0,1.0,"[[], [0, 2]]"
198,قرآن کریم,چر کریم,3.0,1.0,0.0,"[[0, 1, 1], []]"
199,قرآن کریم,قرآن مکم,3.0,1.0,1.0,"[[], [2, 1, 1]]"
200,قرآن کریم,حقتن کریم,3.0,2.0,0.0,"[[2, 0, 1], []]"
201,قرآن کریم,قزرلآم کریم,3.0,2.0,1.0,"[[2, 2, 0], []]"
202,اگر دولت,اار دولت,1.0,1.0,0.0,"[[0], []]"
203,اگر دولت,اگر ددولت,1.0,1.0,1.0,"[[], [2]]"
204,اگر دولت,اگر دل,2.0,1.0,0.0,"[[], [1, 1]]"
205,اگر دولت,کر دولت,2.0,1.0,1.0,"[[1, 0], []]"
206,اگر دولت,اپ دولت,2.0,2.0,0.0,"[[0, 1], []]"
207,اگر دولت,لکگر دولت,2.0,2.0,1.0,"[[0, 2], []]"
208,اگر دولت,اگر گشلذت,3.0,1.0,0.0,"[[], [0, 0, 2]]"
209,اگر دولت,ک دولت,3.0,1.0,1.0,"[[1, 0, 1], []]"
210,اگر دولت,امر دضولجت,3.0,2.0,0.0,"[[0], [2, 2]]"
211,اگر دولت,اکگ ددولت,3.0,2.0,1.0,"[[2, 1], [2]]"
212,فعالیت می‌کند,فعالی می‌کند,1.0,1.0,0.0,"[[1], []]"
213,فعالیت می‌کند,فالیت می‌کند,1.0,1.0,1.0,"[[1], []]"
214,فعالیت می‌کند,فعالیت ای‌کنصد,2.0,1.0,0.0,"[[], [0, 2]]"
